,OBJECTID,dem_id,pairname,stripdemid,sensor1,sensor2,catalogid1,catalogid2,acqdate1,acqdate2,gsd,epsg,setsm_ver,s2s_ver,creationdate,geocell,is_lsf,is_xtrack,valid_area_matchtag_density,valid_area_sqkm,valid_area_percent,water_area_sqkm,water_area_percent,cloud_area_sqkm,cloud_area_percent,avg_convergence_angle,avg_expected_height_accuracy,avg_sun_elev1,avg_sun_elev2,rmse,fileurl,s3url,SHAPE,pdt_time1,pdt_time2
156167,156168,SETSM_s2s041_WV01_20140105_102001002B1A4900_1020010029DEFF00_2m_lsf_seg1,WV01_20140105_102001002B1A4900_1020010029DEFF00,WV01_20140105_102001002B1A4900_1020010029DEFF00_2m_v040307,WV01,WV01,102001002B1A4900,1020010029DEFF00,2014-01-05 12:20:44+00:00,2014-01-05 12:19:52+00:00,2.0,3031,SETSM 4.3.7,4.1,2021-10-11 00:00:00+00:00,s80w161,1,0,0.9945710000000001,2131.0651799999996,1.0,0.0,0.0,0.0,0.0,40.616882,0.955246,12.8125,12.8125,0.06782857,https://data.pgc.umn.edu/elev/dem/setsm/REMA/strips/s2s041/2m/s80w161/SETSM_s2s041_WV01_20140105_102001002B1A4900_1020010029DEFF00_2m_lsf_seg1.tar.gz,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/rema/strips/s2s041/2m/s80w161/SETSM_s2s041_WV01_20140105_102001002B1A4900_1020010029DEFF00_2m_lsf_seg1.json,"POLYGON ((-392511.3969893517 -1087554.1595082069, -393526.76644814346 -1094830.973962881, -395098.1236030746 -1094734.5973901877, -392511.3969893517 -1087554.1595082069))",2014-01-05 12:20:44+00:00,2014-01-05 12:19:52+00:00
156169,156170,SETSM_s2s041_WV01_20140105_102001002B9BBF00_1020010027C4DA00_2m_lsf_seg1,WV01_20140105_102001002B9BBF00_1020010027C4DA00,WV01_20140105_102001002B9BBF00_1020010027C4DA00_2m_v040307,WV01,WV01,102001002B9BBF00,1020010027C4DA00,2014-01-05 12:19:31+00:00,2014-01-05 12:20:22+00:00,2.0,3031,SETSM 4.3.7,4.1,2021-10-11 00:00:00+00:00,s80w161,1,0,0.99468,2189.802558,1.0,0.0,0.0,0.0,0.0,40.828109,0.9498280000000001,12.866667,12.866667,0.05515714,https://data.pgc.umn.edu/elev/dem/setsm/REMA/strips/s2s041/2m/s80w161/SETSM_s2s041_WV01_20140105_102001002B9BBF00_1020010027C4DA00_2m_lsf_seg1.tar.gz,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/rema/strips/s2s041/2m/s80w161/SETSM_s2s041_WV01_20140105_102001002B9BBF00_1020010027C4DA00_2m_lsf_seg1.json,"POLYGON ((-392622.4054564109 -1056844.7630800216, -390772.13466804166 -1075089.4462054844, -393526.76644814346 -1094830.973962881, -406200.2382542253 -1094053.66768788, -392622.4054564109 -1056844.7630800216))",2014-01-05 12:19:31+00:00,2014-01-05 12:20:22+00:00
283378,283379,SETSM_s2s041_WV02_20131125_103001002AB17100_10300100296D0C00_2m_lsf_seg1,WV02_20131125_103001002AB17100_10300100296D0C00,WV02_20131125_103001002AB17100_10300100296D0C00_2m_v040307,WV02,WV02,103001002AB17100,10300100296D0C00,2013-11-25 12:40:14+00:00,2013-11-25 12:38:49+00:00,2.0,3031,SETSM 4.3.7,4.1,2021-10-11 00:00:00+00:00,s80w160,1,0,0.9915200000000001,2041.104216,0.999819,0.0,0.0,0.36921600000000004,0.000181,44.124348,0.8722200000000001,11.856522,11.856522,0.046805,https://data.pgc.umn.edu/elev/dem/setsm/REMA/strips/s2s041/2m/s80w160/SETSM_s2s041_WV02_20131125_103001002AB17100_10300100296D0C00_2m_lsf_seg1.tar.gz,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/rema/strips/s2s041/2m/s80w160/SETSM_s2s041_WV02_20131125_103001002AB17100_10300100296D0C00_2m_lsf_seg1.json,"POLYGON ((-397017.46067147615 -1094616.878049352, -409576.3783763144 -1093846.5977592657, -412524.5690044351 -1085204.02156572, -399024.0136176114 -1049165.7519431177, -393429.8918311168 -1048882.5052703838, -390772.13466804166 -1075089.4462054844, -391456.40008427267 -1079993.3483551403, -397017.46067147615 -1094616.878049352))",2013-11-25 12:40:14+00:00,2013-11-25 12:38:49+00:00
157182,157183,SETSM_s2s041_WV01_20130304_102001001F1F7F00_102001001FA14D00_2m_lsf_seg1,WV01_20130304_102001001F1F7F00_102001001FA14D00,WV01_20130304_102001001F1F7F00_102001001FA14D00_2m_v040307,WV01,WV01,102001001F1F7F00,102001001FA14D00,2013-03-04 17:21:32+00:00,2013-03-04 17:20:28+00:00,2.0,3031,SETSM 4.3.7,4.1,2021-10-11 00:00:00+00:00,s80w160,1,0,0.996095,2311.063398,1.0,0.0,0.0,0.0,0.0,48.477661000000005,0.785243,7.442857,7.442857,0.0538,https://data.pgc.umn.edu/elev/dem/setsm/REMA/strips/s2s041/2m/s80w160/SETSM_s2s041_WV01_20130304_102001001F1F7F00_102001001FA14D00_2m_lsf_seg1.tar.gz,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/rema/strips/s2s041/2m/s80w160/SETSM_s2s041_WV01_20130304_102001001F1F7F00_102001001FA14D00_2m_lsf_seg1.json,"POLYGON ((-412785.9999887524 -1079591.999994592, -400996.76218284713 -1049265.6379464208, -393429.8918311168 -1048882.5052703838, -390772.13466804166 -1075089.4462054844, -392192.17282688915 -1085266.3863438917, -395598.94204320543 -1094703.8805256926, -409576.3783763144 -1093846.5977592657, -413647.81385366665 -1081911.2462950516, -412785.9999887524 -1079591.999994592))",2013-03-04 17:21:32+00:00,2013-03-04 17:20:28+00:00
283379,283380,SETSM_s2s041_WV02_20131125_103001002AA22700_103001002A586800_2m_lsf_seg1,WV02_20131125_103001002AA22700_103001002A586800,WV02_20131125_103001002AA22700_103001002A586800_2m_v040307,WV02,WV02,103001002AA22700,103001002A586800,2013-11-25 14:17:35+00:00,2013-11-25 14:18:47+00:00,2.0,3031,SETSM 4.3.7,4.1,2021-10-11 00:00:00+00:00,s80w160,1,0,0.9943440000000001,1996.0439959999999,1.0,0.0,0.0,0.0,0.0,36.102073999999995,1.084694,15.131579,15.131579,0.08008333000000001,https://data.pgc.umn.edu/elev/dem/setsm/REMA/strips/s2s041/2m/s80w160/SETSM_s2s041_WV02_20131125_103001002AA22700_103001002A586800_2m_lsf_seg1.tar.gz,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/rema/strips/s2s041/2m/s80w160/SETSM_s2s041_WV02_20131125_103001002AA22700_103001002A586800_2m_lsf_seg1.json,"POLYGON ((-409010.3612680581 -1049671.3897988363, -393429.8918311168 -1048882.5052703838, -392669.5424187311 -1056379.9668207746, -395025.9999935201 -1062733.9999891117, -401919.99998565495 -1080835.999952982, -406952.27597630525 -1094007.5427073417, -409576.3783763144 -1093846.5977592657, -415522.5236745636 -1076415.5628364081, -414673.28422150837 -1064388.5080574856, -409010.3612680581 -1049671.3897988363))",2013-11-25 14:17:35+00:00,2013-11-25 14:18:47+00:00
172537,172538,SETSM_s2s041_WV01_20131129_1020010027517D00_1020010028C47700_2m_lsf_seg1,WV01_20131129_1020010027517D00_1020010028C47700,WV01_20131129_1020010027517D00_1020010028C47700_2m_v040307,WV01,WV01,1020010027517D00,1020010028C47700,2013-11-29 18:03:30+00:00,2013-11-29 18:04:23+00:00,2.0,3031,SETSM 4.3.7,4.1,2021-10-11 00:00:00+00:00,s80w159,1,0,0.993326,2082.14943,0.9993400000000001,0.0,0.0,1.3756,0.0006600000000000001,42.657368,0.905363,25.75,25.75,0.06877691999999999,https://data.pgc.umn.edu/elev/dem/setsm/REMA/strips/s2s041/2m/s80w159/SETSM_s2s041_WV01_20131129_1020010027517D00_1020010028C47700_2m_lsf_seg1.tar.gz,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/rema/strips/s2s041/2m/s80w159/SETSM_s2s041_WV01_20131129_1020010027517D00_1020010028C47700_2m_lsf_seg1.json,"POLYGON ((-404964.00000662816 -1064744.0000335875, -412708.58739433833 -1084664.5744415813, -415522.5236745636 -1076415.5628364081, -413650.6875730752 -1049906.3430294702, -398939.71589014493 -1049161.4837037523, -404964.00000662816 -1064744.0000335875))",2013-11-29 18:03:30+00:00,2013-11-29 18:04:23+00:00
172532,172533,SETSM_s2s041_WV01_20130311_1020010021827C00_1020010021C8F200_2m_lsf_seg1,WV01_20130311_1020010021827C00_1020010021C8F200,WV01_20130311_1020010021827C00_1020010021C8F200_2m_v040307,WV01,WV01,1020010021827C00,1020010021C8F200,2013-03-11 19:27:25+00:00,2013-03-11 19:26:15+00:00,2.0,3031,SETSM 4.3.7,4.1,2021-10-11 00:00:00+00:00,s80w159,1,0,0.9886550000000001,2855.984586,0.9998400000000001,0.0031360000000000003,1e-06,0.452684,0.000158,44.683502000000004,1.5,10.1875,10.1875,0.13353333,https://data.pgc.umn.edu/elev/dem/setsm/REMA/strips/s2s041/2m/s80w159/SETSM_s2s041_WV01_20130311_1020010021827C00_1020010021C8F200_2m_lsf_seg1.tar.gz,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/rema/strips/s2s041/2m/s80w159/SETSM_s2s041_WV01_20130311_1020010021827C00_1020010021C8F200_2m_lsf_seg1.json,"POLYGON ((-411806.9091391924 -1087307.8305959941, -415522.5236745636 -1076415.5628364081, -413650.6875730752 -1049906.3430294702, -396996.7832773075 -1049063.1073689251, -411806.9091391924 -1087307.8305959941))",2013-03-11 19:27:25+00:00,2013-03-11 19:26:15+00:00
293707,293708,SETSM_s2s041_WV02_20141230_103001003B447B00_103001003B4B2A00_2m_lsf_seg1,WV02_20141230_103001003B447B00_103001003B4B2A00,WV02_20141230_103001003B447B00_103001003B4B2A00_2m_v040307,WV02,WV02,103001003B447B00,103001003B4B2A00,2014-12-30 16:45:17+00:00,2014-12-30 16:44:08+00:00,2.0,3031,SETSM 4.3.7,4.1,2021-10-11 00:00:00+00:00,s80w159,1,0,0.994661,1979.337988,0.999054,0.0,0.0,1.8737439999999999,0.0009460000000000001,35.723505,1.09709,23.045,23.045,0.13518889,https://data.pgc.umn.edu/elev/dem/setsm/REMA/strips/s2s041/2m/s80w159/SETSM_s2s041_WV02_20141230_103001003B447B00_103001003B4B2A00_2m_lsf_seg1.tar.gz,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/rema/strips/s2s041/2m/s80w159/SETSM_s2s041_WV02_20141230_103001003B447B00_103001003B4B2A00_2m_lsf_seg1.json,"POLYGON ((-406152.0000035364 -1062760.0000135235, -413654.6361070781 -1081891.2469624584, -415522.5236745636 -1076415.5628364081, -413650.6875730752 -1049906.3430294702, -400899.8751358555 -1049260.7322731554, -406152.0000035364 -1062760.0000135235))",2014-12-30 16:45:17+00:00,2014-12-30 16:44:08+00:00
293709,293710,SETSM_s2s041_WV02_20131125_103001002A290C00_1030010029461A00_2m_lsf_seg1,WV02_20131125_103001002A290C00_1030010029461A00,WV02_20131125_103001002A290C00_1030010029461A00_2m_v040307,WV02,WV02,103001002A290C00,1030010029461A00,2013-11-25 14:19:14+00:00,2013-11-25 14:17:59+00:00,2.0,3031,SETSM 4.3.7,4.1,2021-10-11 00:00:00+00:00,s80w159,1,0,0.993858,1694.090004,1.0,0.0,0.0,0.0,0.0,37.521817,1.0409519999999999,15.166667,15.166667,0.08323636000000001,https://data.pgc.umn.edu/elev/dem/setsm/REMA/strips/s2s041/2m/s80w159/SETSM_s2s041_WV02_20131125_103001002A290C00_1030010029461A00_2m_lsf_seg1.tar.gz,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/rema/strips/s2s041/2m/s80w159/SETSM_s2s041_WV02_20131125_103001002A290C00_1030010029461A00_2m_lsf_seg1.json,"POLYGON ((-414521.06627197657 -1062232.7749356113, -413650.6875730752 -1049906.3430294702, -409659.6390759093 -1049704.2646245505, -414521.06627197657 -1062232.7749356113))",2013-11-25 14:19:14+00:00,2013-11-25 14:17:59+00:00
